Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,bar_height
1999-08-31 21:00:00,1.4941,1.4993,1.4594,1.4661,1.4944,1.4996,1.4597,1.4664,0,1.49425,1.49945,1.45955,1.46625,1.4795,0.16538171063,-0.20219564168,1.45687619467,1.49097793988,1.4916610728,,1.43730415,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,-0.20219564168,,,,,,,0,0,0,0,0,0,0.03990000000000005
1999-09-30 21:00:00,1.4661,1.4969,1.4622,1.4701,1.4664,1.4972,1.4625,1.4704,0,1.46625,1.49705,1.46235,1.47025,1.4797,0.16567327817,-0.10799697462,1.46018571816,1.48731819739,1.49128885824,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,1.0,,,,,0,0,0,0,0,0,0.03469999999999995
1999-10-31 22:00:00,1.4701,1.4769,1.4602,1.4741,1.4704,1.4772,1.4605,1.4744,0,1.47025,1.47705,1.46035,1.47425,1.4687,0.14668762781,-0.09295488912,1.46455604753,1.48519717272,1.49195108659,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,1.47705,,1,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,0,0,0,0.016699999999999937
1999-11-30 22:00:00,1.4741,1.485,1.4481,1.4549,1.4744,1.4853,1.4484,1.4552,0,1.47425,1.48515,1.44825,1.45505,1.4667,0.10544923614,-0.12823599714,1.46644019772,1.48577252613,1.48946086928,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,0,0,0,0.03689999999999993
1999-12-31 22:00:00,1.4549,1.4617,1.4321,1.4456,1.4552,1.462,1.4324,1.4459,0,1.45505,1.46185,1.43225,1.44575,1.44705,0.04414485965,-0.20623441751,1.46607556713,1.48687596036,1.48750869542,,1.41000415,0,1,0,1,,1.41000415,0,1,0,0,0,0,0,0,0,0,inf,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,1.43225,,,0,0,0,0,0,0,0.02960000000000007
2000-01-31 22:00:00,1.4456,1.4669,1.4358,1.4527,1.4459,1.4672,1.4361,1.453,0,1.44575,1.46705,1.43595,1.45285,1.4515,0.00564259912,-0.2228565213,1.46640436966,1.48595396532,1.48374695634,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,0,0,0,0.031099999999999905
2000-02-29 22:00:00,1.4527,1.4772,1.4438,1.4547,1.453,1.4775,1.4441,1.455,0,1.45285,1.47735,1.44395,1.45485,1.46065,-0.02657407914,-0.20705011168,1.46820403353,1.48517221965,1.48033756507,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,0,1,-1.0,0.0,1.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,0,0,0,0.033399999999999874
2000-03-31 22:00:00,1.4547,1.4893,1.4478,1.4803,1.455,1.4896,1.4481,1.4806,0,1.45485,1.48945,1.44795,1.48045,1.4687,-0.03957185302,-0.1455414783,1.47023449249,1.4831131922,1.47368005206,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,-0.1455414783,,,,,,,0,0,0,0,0,0,0.04149999999999987
2000-04-30 21:00:00,1.4803,1.5144,1.4762,1.5063,1.4806,1.5147,1.4765,1.5066,0,1.48045,1.51455,1.47635,1.50645,1.49545,-0.02777104061,-0.04804500951,1.47094722384,1.48106154317,1.46924404164,1.51455,,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,0,0,0,0.03820000000000001
2000-05-31 21:00:00,1.5063,1.5065,1.463,1.4828,1.5066,1.5068,1.4633,1.4831,0,1.50645,1.50665,1.46315,1.48295,1.4849,-0.00335149211,0.0379733658,1.47162051431,1.47681010028,1.46752523332,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,0,1,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,0,0,0,0,0,0.043500000000000094
