Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,bar_height
1999-08-31 21:00:00,0.94991,0.97341,0.94041,0.95551,0.95069,0.97419,0.94119,0.95629,0,0.9503,0.9738,0.9408,0.9559,0.9573,-0.12544624701,0.17922145224,0.96839384974,0.95272604462,0.95426894637,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,0,0,0,0.03300000000000003
1999-09-30 21:00:00,0.95551,0.98081,0.93391,0.94071,0.95629,0.98159,0.93469,0.94149,0,0.9559,0.9812,0.9343,0.9411,0.95775,-0.10643901165,0.13819138534,0.96740201514,0.95429778904,0.95813515709,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.13819138534,,,,,,,,0,0,0,0,0,0,0.04689999999999994
1999-10-31 22:00:00,0.94071,0.94951,0.92151,0.93901,0.94149,0.95029,0.92229,0.93979,0,0.9411,0.9499,0.9219,0.9394,0.9359,-0.12097247955,0.04813098321,0.96623647552,0.95534806541,0.95880812568,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,0.9499,,1,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,-0.87639397272,,,,,,0,0,0,0,0,0,0.027999999999999914
1999-11-30 22:00:00,0.93901,0.95601,0.92761,0.95031,0.93979,0.95679,0.92839,0.95109,0,0.9394,0.9564,0.928,0.9507,0.9422,-0.14896992885,-0.03361928102,0.96518366971,0.95762955724,0.95850650054,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,0,1,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,0,0,0,0.02839999999999998
1999-12-31 22:00:00,0.95031,0.97221,0.89151,0.92271,0.95109,0.97299,0.89229,0.92349,0,0.9507,0.9726,0.8919,0.9231,0.93225,-0.16261466853,-0.06176837335,0.96519261819,0.95811336258,0.95835520043,0.9726,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,0,1,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,0,0,0,0.0807
2000-01-31 22:00:00,0.92271,0.93221,0.88291,0.89221,0.92349,0.93299,0.88369,0.89299,0,0.9231,0.9326,0.8833,0.8926,0.90795,-0.20167352042,-0.11125047126,0.96500087833,0.95801169226,0.95386416035,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,0,1,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,0,0,0,0.04930000000000001
2000-02-29 22:00:00,0.89221,0.90741,0.86991,0.89131,0.89299,0.90819,0.87069,0.89209,0,0.8926,0.9078,0.8703,0.8917,0.88905,-0.27296257801,-0.19017852294,0.96566234923,0.95797898073,0.95153132828,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,0.9078,,1,0,1,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,0,0,0,0.03750000000000009
2000-03-31 22:00:00,0.89131,0.90141,0.85601,0.86521,0.89209,0.90219,0.85679,0.86599,0,0.8917,0.9018,0.8564,0.8656,0.8791,-0.32897002927,-0.22011692933,0.96534216852,0.95521910814,0.94767506262,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,0,1,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,0,0,0,0.045399999999999996
2000-04-30 21:00:00,0.86521,0.89541,0.83931,0.86511,0.86599,0.89619,0.84009,0.86589,0,0.8656,0.8958,0.8397,0.8655,0.86775,-0.41670306938,-0.29115321917,0.96472354017,0.95359171962,0.9397300501,,0.8211179666666667,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,0,1,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,0,0,0,0.05610000000000004
2000-05-31 21:00:00,0.86511,0.90121,0.83981,0.89091,0.86589,0.90199,0.84059,0.89169,0,0.8655,0.9016,0.8402,0.8913,0.8709,-0.48158273959,-0.29340994588,0.964187114,0.95092400467,0.92959404008,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,inf,,,0,0,1,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,0,0,0,0.06140000000000001
