Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,bjaw,bteeth,blips,tjaw,tteeth,tlips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,bar_height
2024-08-28 14:45:00,0.9134,0.91385,0.91336,0.91385,0.91349,0.91396,0.91345,0.91396,998,0.913445,0.913905,0.913405,0.913905,0.913655,0.44132708589,0.47865721825,0.9129584164,0.91298805653,0.91315429004,0.91390950062,0.91398429383,0.91361215777,0.91350293579,0.91340765787,0.91360731354,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.0501002004,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,0.913905,,,,1,0,0,0,1,+-,0.0004999999999999449
2024-08-28 14:50:00,0.91385,0.91398,0.91349,0.91369,0.91396,0.91408,0.9136,0.9138,1023,0.913905,0.91403,0.913545,0.913745,0.9137875,0.51055688575,0.5043550394,0.91296930745,0.91302173696,0.91323443203,0.91391268039,0.91397012485,0.91358577077,0.91350245055,0.91341232457,0.91361129053,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.04740957967,,0.913545,-1,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.0004849999999999577
2024-08-28 14:55:00,0.91369,0.914,0.91359,0.91361,0.9138,0.91411,0.91368,0.91372,1134,0.913745,0.914055,0.913635,0.913665,0.913845,0.56302626906,0.45787481137,0.91298089918,0.91306839484,0.91332854562,0.9139156278,0.91395384986,0.91356008634,0.91350205943,0.91341671374,0.91361419824,0.914055,,1,0,1,0,0.914055,,1,0,1,0,1,0,0,0,0,0,0.03703703704,,0.913635,-1,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,-0.6666666666666666,,1,0,0,0,1,+-,0.00041999999999997595
2024-08-28 15:00:00,0.91361,0.91375,0.91341,0.91365,0.91372,0.91386,0.9135,0.91374,1352,0.913665,0.913805,0.913455,0.913695,0.91363,0.559131162,0.25191277567,0.91300390694,0.91312922049,0.9133938365,0.91391854209,0.91393559804,0.91353934851,0.91350147041,0.913421642,0.91361528019,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.02588757396,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.00034999999999996145
2024-08-28 15:05:00,0.91365,0.9138,0.91347,0.91367,0.91374,0.9139,0.91356,0.91376,936,0.913695,0.91385,0.913515,0.913715,0.9136825,0.53907136065,0.06335324797,0.9130234141,0.91320119292,0.9134725692,0.91392074949,0.91391785989,0.91351429414,0.91350088959,0.91342551908,0.91361604214,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.03579059829,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.00033500000000008523
2024-08-28 15:10:00,0.91367,0.91376,0.91333,0.9134,0.91376,0.91385,0.91342,0.91349,864,0.913715,0.913805,0.913375,0.913445,0.91359,0.51267628223,-0.09326932411,0.91305199763,0.91325791881,0.91354705536,0.91392079724,0.91389898971,0.91348630019,0.91350061535,0.91342867136,0.91361714601,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.04976851852,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.00042999999999993044
2024-08-28 15:15:00,0.9134,0.91354,0.91304,0.91306,0.91349,0.91364,0.91313,0.91315,857,0.913445,0.91359,0.913085,0.913105,0.9133375,0.43208193472,-0.3432318187,0.91309069012,0.91332411646,0.91356364429,0.91392056357,0.91388046263,0.9134578796,0.91350050761,0.91343211054,0.91361869361,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.05892648775,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.0005049999999999777
2024-08-28 15:20:00,0.91306,0.9132,0.91301,0.91305,0.91315,0.91331,0.9131,0.91316,811,0.913105,0.913255,0.913055,0.913105,0.913155,0.31403727847,-0.60608734788,0.91313794472,0.9133892269,0.91358741543,0.91392061341,0.91385890876,0.91343345667,0.91350020123,0.91343510577,0.91362158462,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.02466091245,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,1,0,3,--,0.000200000000000089
2024-08-28 15:25:00,0.91305,0.91309,0.91261,0.91299,0.91316,0.91318,0.9127,0.91308,947,0.913105,0.913135,0.912655,0.913035,0.912895,0.19379303234,-0.78779000503,0.91317771821,0.91341932354,0.91358793234,0.91391931439,0.91383683769,0.91341541383,0.91349967019,0.91343894652,0.9136253757,,0.9124904916666666,0,1,0,1,,,0,0,0,0,0,0,0,0,0,0,0.05068637804,0.913135,,1,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,1,0,0,4,++,0.00048000000000003595
2024-08-28 15:30:00,0.91299,0.91309,0.91281,0.91302,0.91308,0.91318,0.91292,0.91311,752,0.913035,0.913135,0.912865,0.913065,0.913,0.0773178751,-0.88070633709,0.9132246245,0.9134522206,0.91353784588,0.91391794569,0.91381357701,0.91340113695,0.91349908751,0.91344279224,0.91362867171,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.03590425532,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,1,0,3,--,0.00026999999999999247
